Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Default Suite,Chrome 116.0.0.0,,,2566-08-30 14:58:01,2566-08-30 14:58:07,5.221s,ERROR
,,,,,,,
Test Cases/Imported from Selenium IDE Scripts/Default Suite/YYTY,Chrome 116.0.0.0,,,2566-08-30 14:58:02,2566-08-30 14:58:07,4.952s,ERROR
"""----------------------------------------------------""",Chrome 116.0.0.0,,,2566-08-30 14:58:02,2566-08-30 14:58:02,0.002s,PASSED
"""This test case script is generated by Katalon Studio""",Chrome 116.0.0.0,,,2566-08-30 14:58:02,2566-08-30 14:58:02,0.000s,PASSED
"""Generated date: 30-ส.ค.-2566 02:56:52 หลังเที่ยง""",Chrome 116.0.0.0,,,2566-08-30 14:58:02,2566-08-30 14:58:02,0.001s,PASSED
"""File path: C:\Users\USER\Desktop\MYProject.side""",Chrome 116.0.0.0,,,2566-08-30 14:58:02,2566-08-30 14:58:02,0.001s,PASSED
"""Generated by: ning.nattha6@gmail.com""",Chrome 116.0.0.0,,,2566-08-30 14:58:02,2566-08-30 14:58:02,0.002s,PASSED
"baseUrl = ""https://pos-frontend-ton-gumbjqoyzq-as.a.run.app""",Chrome 116.0.0.0,----------------------------------------------------,,2566-08-30 14:58:02,2566-08-30 14:58:02,0.001s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2566-08-30 14:58:02,2566-08-30 14:58:05,3.001s,PASSED
selenium = new com.kms.katalon.core.webui.driver.KatalonWebDriverBackedSelenium(baseUrl),Chrome 116.0.0.0,,,2566-08-30 14:58:05,2566-08-30 14:58:05,0.134s,PASSED
"selenium.open(""/"", """")",Chrome 116.0.0.0,open | / |  | ,,2566-08-30 14:58:05,2566-08-30 14:58:06,0.793s,PASSED
"""setWindowSize | 825x818 |  | """,Chrome 116.0.0.0,,,2566-08-30 14:58:06,2566-08-30 14:58:06,0.002s,PASSED
"selenium.click(""css=div > .py-3 > div"")",Chrome 116.0.0.0,click | css=div > .py-3 > div |  | ,,2566-08-30 14:58:06,2566-08-30 14:58:07,0.552s,ERROR
