Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Default Suite,Chrome 116.0.0.0,,,2566-08-30 14:57:09,2566-08-30 14:57:16,7.136s,ERROR
,,,,,,,
Test Cases/Imported from Selenium IDE Scripts/Default Suite/YYTY,Chrome 116.0.0.0,,,2566-08-30 14:57:09,2566-08-30 14:57:16,6.795s,ERROR
"""----------------------------------------------------""",Chrome 116.0.0.0,,,2566-08-30 14:57:10,2566-08-30 14:57:10,0.001s,PASSED
"""This test case script is generated by Katalon Studio""",Chrome 116.0.0.0,,,2566-08-30 14:57:10,2566-08-30 14:57:10,0.001s,PASSED
"""Generated date: 30-ส.ค.-2566 02:56:52 หลังเที่ยง""",Chrome 116.0.0.0,,,2566-08-30 14:57:10,2566-08-30 14:57:10,0.000s,PASSED
"""File path: C:\Users\USER\Desktop\MYProject.side""",Chrome 116.0.0.0,,,2566-08-30 14:57:10,2566-08-30 14:57:10,0.000s,PASSED
"""Generated by: ning.nattha6@gmail.com""",Chrome 116.0.0.0,,,2566-08-30 14:57:10,2566-08-30 14:57:10,0.003s,PASSED
"baseUrl = ""https://pos-frontend-ton-gumbjqoyzq-as.a.run.app""",Chrome 116.0.0.0,----------------------------------------------------,,2566-08-30 14:57:10,2566-08-30 14:57:10,0.001s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2566-08-30 14:57:10,2566-08-30 14:57:14,4.839s,PASSED
selenium = new com.kms.katalon.core.webui.driver.KatalonWebDriverBackedSelenium(baseUrl),Chrome 116.0.0.0,,,2566-08-30 14:57:14,2566-08-30 14:57:15,0.115s,PASSED
"selenium.open(""/"", """")",Chrome 116.0.0.0,open | / |  | ,,2566-08-30 14:57:15,2566-08-30 14:57:15,0.815s,PASSED
"""setWindowSize | 825x818 |  | """,Chrome 116.0.0.0,,,2566-08-30 14:57:15,2566-08-30 14:57:15,0.002s,PASSED
"selenium.click(""css=div > .py-3 > div"")",Chrome 116.0.0.0,click | css=div > .py-3 > div |  | ,,2566-08-30 14:57:15,2566-08-30 14:57:16,0.463s,ERROR
